Mission ID,Mission Name,Reasons
MSN-0005,Mission-5,['Mission Success (%) is unusually low (z=-2.07)']
MSN-0016,Mission-16,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0028,Mission-28,['Mission Success (%) is unusually low (z=-2.69)']
MSN-0042,Mission-42,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0045,Mission-45,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0062,Mission-62,['Mission Success (%) is unusually low (z=-2.39)']
MSN-0066,Mission-66,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0071,Mission-71,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0075,Mission-75,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0082,Mission-82,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0086,Mission-86,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0090,Mission-90,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0093,Mission-93,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0098,Mission-98,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0101,Mission-101,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0105,Mission-105,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0120,Mission-120,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0123,Mission-123,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0125,Mission-125,['Mission Success (%) is unusually low (z=-2.13)']
MSN-0132,Mission-132,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0138,Mission-138,['Mission Success (%) is unusually low (z=-2.83)']
MSN-0144,Mission-144,['Mission Success (%) is unusually low (z=-2.48)']
MSN-0145,Mission-145,['Mission Success (%) is unusually low (z=-2.20)']
MSN-0152,Mission-152,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0155,Mission-155,['Mission Success (%) is unusually low (z=-2.75)']
MSN-0156,Mission-156,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0165,Mission-165,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0166,Mission-166,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0172,Mission-172,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0180,Mission-180,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0194,Mission-194,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0203,Mission-203,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0207,Mission-207,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0212,Mission-212,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0230,Mission-230,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0231,Mission-231,['Mission Success (%) is unusually low (z=-2.18)']
MSN-0236,Mission-236,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0248,Mission-248,['Mission Success (%) is unusually low (z=-2.75)']
MSN-0252,Mission-252,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0255,Mission-255,['Mission Success (%) is unusually low (z=-2.21)']
MSN-0265,Mission-265,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0272,Mission-272,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0273,Mission-273,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0283,Mission-283,['Mission Success (%) is unusually low (z=-2.55)']
MSN-0290,Mission-290,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0291,Mission-291,['Mission Success (%) is unusually low (z=-2.27)']
MSN-0294,Mission-294,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0299,Mission-299,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0304,Mission-304,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0309,Mission-309,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0318,Mission-318,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0325,Mission-325,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0335,Mission-335,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0336,Mission-336,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0346,Mission-346,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0354,Mission-354,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0358,Mission-358,['Mission Success (%) is unusually low (z=-2.08)']
MSN-0359,Mission-359,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0362,Mission-362,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0371,Mission-371,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0381,Mission-381,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0395,Mission-395,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0405,Mission-405,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0409,Mission-409,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0411,Mission-411,['Mission Success (%) is unusually low (z=-2.05)']
MSN-0419,Mission-419,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0420,Mission-420,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0453,Mission-453,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0473,Mission-473,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0475,Mission-475,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0478,Mission-478,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0487,Mission-487,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0488,Mission-488,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0493,Mission-493,['Subtle multivariate anomaly (no single feature has a high deviation)']
MSN-0497,Mission-497,['Subtle multivariate anomaly (no single feature has a high deviation)']
